ensembl	symbol	DM_48h_1	DM_48h_2	DM_48h_3	GiB_48h_1	GiB_48h_2	GiB_48h_3
ENSG00000099338	CATSPERG	3.676864026	1.492869261	3.479117375	4.137962787	2.130545101	1.06738288
ENSG00000099341	PSMD8	4642.924995	3308.839616	3364.300755	3378.694223	3149.332517	4593.976472
ENSG00000099364	FBXL19	1180.455689	1830.70312	1830.777846	1838.700653	1684.792353	1160.41078
ENSG00000099365	STX1B	0.918228141	5.423183788	1.92526545	4.89188148	6.939203901	5.652513432
ENSG00000099377	HSD3B7	71.07615612	102.9169137	110.7672325	84.45234061	102.1633441	60.87103985
ENSG00000099381	SETD1A	1042.580641	1241.886294	1323.001996	1110.72785	1162.681174	1220.999639
ENSG00000099385	BCL7C	574.5201746	605.6725704	604.3302317	634.7240067	619.2943347	583.8306698
ENSG00000099617	EFNA2	32.91548279	53.60403406	59.29499719	56.86290814	37.22349106	30.96272705
ENSG00000099622	CIRBP	6164.249053	4842.547652	4862.936214	4703.51543	4878.466102	5984.594933
ENSG00000099624	ATP5F1D	284.6483517	349.3391056	356.8227679	339.0592993	316.865533	279.8543532
ENSG00000099625	CBARP	119.0165008	178.0971922	173.0087139	178.4709239	162.9193206	100.642587
ENSG00000099715	PCDH11Y	13.96660415	10.44594169	16.98316078	10.74577596	13.43620285	9.397741514
ENSG00000099769	IGFALS	0	0	0.918280425	0	1.030245261	0
ENSG00000099783	HNRNPM	13989.26646	10434.60955	11056.43171	11099.7168	10645.93661	16903.63695
ENSG00000099785	MARCHF2	466.8462233	520.8294012	568.9976031	490.4840215	460.4167759	478.3425577
ENSG00000099795	NDUFB7	980.5235106	971.5254849	964.8019186	1005.42097	940.6040501	804.0946063
ENSG00000099797	TECR	962.2077418	907.9046256	920.0907681	941.3289197	963.721907	894.1974909
ENSG00000099800	TIMM13	1864.709972	1374.717237	1242.999931	1284.125447	1376.393585	2092.325035
ENSG00000099804	CDC34	1130.688375	1290.249939	1298.921378	1221.433802	1191.507596	1174.645692
