ensembl	symbol	A375MA2-DMSO-A	A375MA2-DMSO-B	A375MA2-DMSO-C	A375MA2-DMSO-D	A375MA2-GiB-A	A375MA2-GiB-B	A375MA2-GiB-D
ENSG00000148308	GTF3C5	1983	3464	2248	2159	3056	3065	4074
ENSG00000148331	ASB6	1531	2694	1525	1661	2265	2145	2694
ENSG00000148334	PTGES2	1454	2361	1543	1552	2149	1917	2614
ENSG00000148335	NTMT1	1252	2085	1368	1257	1977	1865	2326
ENSG00000148337	CIZ1	3873	6240	3916	3911	4463	4351	5280
ENSG00000148339	SLC25A25	759	1228	793	764	920	880	1165
ENSG00000148341	SH3GLB2	844	1399	757	788	1199	1031	1350
ENSG00000148343	MIGA2	366	718	458	418	470	482	643
ENSG00000148344	PTGES	2356	3960	2384	2408	2345	2396	2783
ENSG00000148346	LCN2	4	20	13	16	4	12	11
ENSG00000148356	LRSAM1	487	775	497	479	665	707	662
ENSG00000148357	HMCN2	0	1	0	0	1	3	2
ENSG00000148358	GPR107	3101	5173	2905	3057	3713	3709	4378
ENSG00000148362	PAXX	314	557	348	350	505	515	634
ENSG00000148384	INPP5E	575	969	599	599	609	570	757
ENSG00000148396	SEC16A	3342	5320	3034	3517	4527	4401	5756
ENSG00000148399	DPH7	250	389	200	212	264	244	293
ENSG00000148400	NOTCH1	948	1654	1161	1261	1447	1464	2029
ENSG00000148408	CACNA1B	4	1	1	2	4	1	4
ENSG00000148411	NACC2	2046	3321	2081	2240	2629	2357	3267
ENSG00000148426	PROSER2	374	641	410	380	605	589	765
ENSG00000148429	USP6NL	834	1371	780	841	1030	990	1245
ENSG00000148444	COMMD3	493	835	486	458	790	776	1007
ENSG00000148450	MSRB2	153	324	172	153	252	218	243
ENSG00000148459	PDSS1	339	569	383	404	578	612	790
ENSG00000148468	FAM171A1	728	1105	697	751	816	871	1035
ENSG00000148481	MINDY3	279	411	294	197	485	379	471
ENSG00000148482	SLC39A12	2	3	9	5	4	6	6
ENSG00000148483	TMEM236	24	24	24	16	19	20	18
ENSG00000148484	RSU1	1146	1764	1152	1099	1475	1500	1871
ENSG00000148488	ST8SIA6	4	14	5	3	6	11	8
ENSG00000148498	PARD3	1622	2592	1555	1485	1729	1739	2040
ENSG00000148513	ANKRD30A	0	6	2	1	0	1	1
ENSG00000148516	ZEB1	2884	4479	2513	2748	2931	2832	3400
ENSG00000148541	FAM13C	2	3	1	1	0	3	0
ENSG00000148572	NRBF2	651	1009	637	604	911	829	1024
ENSG00000148584	A1CF	1	0	1	0	1	1	0
ENSG00000148600	CDHR1	3	4	3	2	4	3	3
ENSG00000148602	LRIT1	1	0	0	0	1	0	1
ENSG00000148604	RGR	0	6	3	0	7	2	10
ENSG00000148606	POLR3A	1422	2357	1439	1433	2175	1872	2535
ENSG00000148634	HERC4	912	1438	809	892	770	817	910
ENSG00000148655	LRMDA	56	82	57	42	66	72	96
ENSG00000148660	CAMK2G	444	760	457	466	608	475	609
ENSG00000148671	ADIRF	0	3	0	0	0	0	0
ENSG00000148672	GLUD1	6831	11678	6972	6807	7834	7488	8839
ENSG00000148677	ANKRD1	1	0	0	0	1	1	0
ENSG00000148680	HTR7	794	1329	704	792	790	722	1018
ENSG00000148688	RPP30	701	1225	766	651	1234	1237	1629
ENSG00000148690	FRA10AC1	882	1497	957	898	1175	1041	1287
ENSG00000148700	ADD3	3697	5888	3657	3815	4583	4592	5846
ENSG00000148702	HABP2	1	0	0	1	1	0	0
ENSG00000148704	VAX1	39	93	55	65	108	80	127
ENSG00000148719	DNAJB12	1081	1952	1124	1111	1262	1176	1444
ENSG00000148730	EIF4EBP2	2742	4306	2697	2710	4066	3940	5015
ENSG00000148734	NPFFR1	9	23	8	13	12	9	12
ENSG00000148735	PLEKHS1	124	201	122	138	111	84	82
ENSG00000148737	TCF7L2	2754	4632	2741	2909	3380	3230	3918
ENSG00000148773	MKI67	12562	19426	11181	14115	20034	19895	26164
ENSG00000148795	CYP17A1	1	0	0	0	0	0	1
ENSG00000148803	FUOM	349	540	376	342	535	451	511
ENSG00000148814	LRRC27	149	216	119	130	155	186	210
ENSG00000148824	MTG1	869	1451	890	861	1381	1345	1721
ENSG00000148826	NKX6-2	0	0	0	0	0	2	0
ENSG00000148832	PAOX	18	11	10	10	16	10	14
ENSG00000148834	GSTO1	2977	4944	3273	3001	4198	4068	4801
ENSG00000148835	TAF5	360	595	417	390	615	542	882
ENSG00000148840	PPRC1	2045	3409	2084	2224	3140	3080	4155
ENSG00000148841	ITPRIP	1660	2755	1479	1588	3286	3389	4475
ENSG00000148842	CNNM2	1098	1841	1021	1082	1172	1057	1230
ENSG00000148843	PDCD11	5273	8687	5012	5176	6530	6084	7781
ENSG00000148848	ADAM12	662	1138	635	664	757	744	885
ENSG00000148908	RGS10	789	1505	852	751	1008	949	1125
ENSG00000148925	BTBD10	373	547	376	360	455	410	519
ENSG00000148926	ADM	211	310	190	183	448	465	516
ENSG00000148935	GAS2	37	53	31	35	38	58	55
ENSG00000148942	SLC5A12	81	140	69	74	67	59	63
ENSG00000148943	LIN7C	753	1268	695	658	994	897	1171
ENSG00000148948	LRRC4C	13	26	13	8	17	12	18
ENSG00000148950	IMMP1L	41	76	71	39	85	81	98
ENSG00000148965	SAA4	0	1	0	1	2	1	1
