ensembl	symbol	D15-shGCN2-5BM	D15-shGCN2-5NM	D15-shGCN2-6BM	D15-shGCN2-6NM	D15-shScr-1BM	D15-shScr-1L1	D15-shScr-1R1	D15-shScr-2L1
ENSG00000010318	PHF7	65	94	122	76	65	29	35	41
ENSG00000010319	SEMA3G	28	33	27	9	31	26	1	34
ENSG00000010322	NISCH	1055	1368	1441	970	939	835	1063	925
ENSG00000010327	STAB1	11	2	10	5	8	2	0	5
ENSG00000010361	FUZ	793	848	730	583	600	693	262	835
ENSG00000010379	SLC6A13	1	0	0	0	1	0	0	1
ENSG00000010404	IDS	2918	2732	2434	1941	2181	1768	1672	2235
ENSG00000010438	PRSS3	166	185	210	100	0	2	4	1
ENSG00000010539	ZNF200	373	358	381	223	242	242	261	237
ENSG00000010610	CD4	2	1	4	2	5	4	0	1
ENSG00000010626	LRRC23	51	49	89	88	66	64	72	57
ENSG00000010671	BTK	30	44	28	26	20	0	7	18
ENSG00000010704	HFE	169	182	137	161	194	211	205	199
ENSG00000010803	SCMH1	763	1024	1183	781	647	335	614	506
ENSG00000010810	FYN	569	576	675	492	485	409	405	615
ENSG00000010818	HIVEP2	402	445	478	359	357	142	448	166
ENSG00000010932	FMO1	0	0	0	0	0	0	0	0
ENSG00000011007	ELOA	2355	2470	2590	1739	1616	1412	1367	1660
ENSG00000011009	LYPLA2	5686	6310	6549	5187	3134	3544	3281	3905
ENSG00000011021	CLCN6	297	460	492	339	366	227	425	268
ENSG00000011028	MRC2	1128	1086	1054	800	879	789	832	871
ENSG00000011052	NME1-NME2	169	197	223	173	184	107	78	162
ENSG00000011083	SLC6A7	6	3	4	0	1	2	4	1
ENSG00000011105	TSPAN9	643	389	533	338	345	504	232	547
ENSG00000011114	BTBD7	234	259	541	217	221	128	134	133
ENSG00000011132	APBA3	253	284	299	238	187	140	141	200
ENSG00000011143	MKS1	187	306	293	218	151	112	149	195
ENSG00000011198	ABHD5	375	549	462	211	322	227	299	251
ENSG00000011201	ANOS1	12	24	15	6	7	3	0	0
ENSG00000011243	AKAP8L	754	931	958	694	760	533	375	668
ENSG00000011258	MBTD1	413	432	414	328	299	284	288	303
ENSG00000011260	UTP18	1124	1338	1522	1280	990	658	920	972
ENSG00000011275	RNF216	1000	1210	1209	974	881	645	871	794
ENSG00000011295	TTC19	791	740	1093	660	471	423	339	489
ENSG00000011304	PTBP1	10913	11832	13165	10392	7884	6273	7777	7778
ENSG00000011332	DPF1	178	139	190	128	146	137	106	140
ENSG00000011347	SYT7	5	14	22	8	8	3	6	1
ENSG00000011376	LARS2	590	679	712	570	407	265	339	310
ENSG00000011405	PIK3C2A	622	820	851	622	564	328	427	360
ENSG00000011422	PLAUR	1488	1499	1382	1319	1508	1661	1946	1712
ENSG00000011426	ANLN	2865	3948	4716	3039	2964	1218	1850	1582
ENSG00000011451	WIZ	1871	1841	2039	1525	1392	1259	940	1462
ENSG00000011454	RABGAP1	829	1060	1266	713	763	508	591	599
ENSG00000011465	DCN	11	3	4	3	2	60	9	9
ENSG00000011478	QPCTL	369	430	440	372	338	165	216	282
ENSG00000011485	PPP5C	1751	1858	2112	1531	1266	1103	957	1443
ENSG00000011523	CEP68	148	191	234	177	168	50	104	92
ENSG00000011566	MAP4K3	531	702	693	557	499	384	481	396
ENSG00000011590	ZBTB32	0	0	9	0	7	0	0	4
ENSG00000011600	TYROBP	0	0	0	0	0	0	0	0
ENSG00000011638	LDAF1	68	116	137	118	87	59	52	51
ENSG00000011677	GABRA3	307	271	316	242	252	161	168	190
ENSG00000012048	BRCA1	810	682	795	666	578	459	489	448
ENSG00000012061	ERCC1	2364	3035	3173	2450	2613	2201	2007	2816
ENSG00000012124	CD22	23	20	61	27	22	27	47	10
ENSG00000012171	SEMA3B	1058	1813	1894	1275	1365	838	1036	886
ENSG00000012174	MBTPS2	859	975	912	675	701	502	571	594
ENSG00000012211	PRICKLE3	239	351	371	310	223	141	212	211
ENSG00000012223	LTF	43	57	96	79	24	5	140	12
ENSG00000012232	EXTL3	728	903	870	628	482	261	283	374
ENSG00000012504	NR1H4	1	0	3	3	2	0	4	0
ENSG00000012660	ELOVL5	1487	1741	1784	1508	1363	784	1284	1068
ENSG00000012779	ALOX5	1	12	17	13	4	0	6	2
ENSG00000012817	KDM5D	6	4	3	3	6	0	0	0
ENSG00000012822	CALCOCO1	749	1025	899	753	586	719	628	759
ENSG00000012963	UBR7	1016	1103	1216	912	764	573	596	765
ENSG00000012983	MAP4K5	608	748	753	677	540	422	431	448
ENSG00000013016	EHD3	1300	1071	1076	906	611	476	408	539
ENSG00000013275	PSMC4	4359	4396	5106	3819	2995	2524	2073	3559
ENSG00000013288	MAN2B2	490	436	491	345	421	381	270	346
ENSG00000013293	SLC7A14	2	7	7	4	7	17	13	9
ENSG00000013297	CLDN11	0	0	0	0	0	0	1	0
ENSG00000013306	SLC25A39	1946	2280	2333	2228	1576	996	1254	1517
ENSG00000013364	MVP	3059	3782	3804	3149	2191	2282	2526	2213
ENSG00000013374	NUB1	1277	1775	1805	1344	1043	611	834	831
ENSG00000013375	PGM3	552	612	541	478	368	351	377	358
ENSG00000013392	RWDD2A	127	99	101	75	70	77	67	71
ENSG00000013441	CLK1	342	303	285	238	486	328	377	385
ENSG00000013503	POLR3B	484	459	561	343	215	211	227	264
ENSG00000013523	ANGEL1	317	359	346	237	267	255	163	259
ENSG00000013561	RNF14	1045	989	974	830	697	709	560	755
ENSG00000013563	DNASE1L1	723	836	1033	694	559	366	369	510
ENSG00000013573	DDX11	978	1176	1147	973	696	799	959	735
ENSG00000013583	HEBP1	453	716	609	600	367	303	459	389
ENSG00000013588	GPRC5A	1454	4382	5137	3093	4836	946	2433	1683
ENSG00000013619	MAMLD1	123	104	123	53	64	24	29	50
ENSG00000013725	CD6	25	6	4	0	43	69	0	135
ENSG00000013810	TACC3	2034	2032	2329	2128	1505	1317	1342	1400
ENSG00000014123	UFL1	427	446	473	405	365	309	296	339
ENSG00000014138	POLA2	269	333	404	321	278	194	205	291
ENSG00000014164	ZC3H3	504	652	686	466	355	310	250	393
ENSG00000014216	CAPN1	2495	2932	3430	2755	2040	1194	1453	1750
ENSG00000014257	ACP3	28	17	6	5	54	68	6	111
ENSG00000014641	MDH1	2602	3234	3017	2773	1996	1866	1871	2402
ENSG00000014824	SLC30A9	1649	1673	1865	1611	1169	928	927	1168
ENSG00000014914	MTMR11	116	146	126	151	73	91	78	88
ENSG00000014919	COX15	1366	1581	1787	1034	916	584	592	700
ENSG00000015133	CCDC88C	55	109	121	101	84	29	49	76
ENSG00000015153	YAF2	451	435	365	451	307	326	451	332
ENSG00000015171	ZMYND11	1032	1076	1127	871	828	658	865	751
ENSG00000015285	WAS	16	21	16	16	8	12	21	3
ENSG00000015413	DPEP1	0	0	0	0	1	0	0	0
ENSG00000015475	BID	712	854	881	687	584	564	499	780
ENSG00000015479	MATR3	5564	6434	6579	5278	4449	4326	3802	4400
ENSG00000015520	NPC1L1	3	11	2	2	7	0	5	1
ENSG00000015532	XYLT2	874	1048	1145	836	694	601	687	621
ENSG00000015568	RGPD5	5	8	20	250	18	225	6	284
ENSG00000015592	STMN4	1	0	1	1	1	0	1	0
ENSG00000015676	NUDCD3	622	682	769	505	441	205	326	313
ENSG00000016082	ISL1	90	162	126	154	85	108	152	57
ENSG00000016391	CHDH	5	7	4	2	5	18	8	1
ENSG00000016402	IL20RA	0	0	0	0	0	0	0	1
ENSG00000016490	CLCA1	0	0	4	0	0	0	0	0
ENSG00000016864	GLT8D1	871	942	968	876	695	677	599	735
ENSG00000017260	ATP2C1	1273	1693	1563	1171	1220	694	936	966
ENSG00000017427	IGF1	7	2	9	7	3	4	1	0
ENSG00000017483	SLC38A5	0	10	0	7	3	0	7	3
ENSG00000017797	RALBP1	1784	1873	2102	2097	2058	1444	1812	1734
ENSG00000018189	RUFY3	213	230	243	203	180	172	233	147
ENSG00000018236	CNTN1	4	1	0	1	4	6	0	6
