protein_ids,symbols,description,log2FoldChange,log2_GiB,log2_DMSO,statistic,p.value,parameter,conf.low,conf.high,method,alternative,padj
E9PQA6;Q96EY5;E9PLL0;M0QZK6;E9PLZ8;E9PJW8,MVB12A,Multivesicular body subunit 12A,0.23339073165218238,18.325437172519766,18.092046440867584,7.036981077448881,0.0023452537345241874,3.9073437635803088,0.14043867153301667,0.32634279177134806,Welch Two Sample t-test,two.sided,0.009810554071350383
E9PQL0;Q86UB9,TMEM135,Transmembrane protein 135,-0.020340158438219902,16.270628956615845,16.290969115054065,-0.44160182878382964,0.696712707821371,2.3113975714053487,-0.19501008949082452,0.1543297726143847,Welch Two Sample t-test,two.sided,0.755492439994886
E9PQW4;P27361;E9PJF0;B3KR49;E9PBK7;H0YEX6;E9PRH7,MAPK3,Mitogen-activated protein kinase;Mitogen-activated protein kinase 3,-0.11433745973742049,18.323823647580234,18.438161107317654,-2.8334197947667685,0.0729899303726919,2.7520373673343417,-0.24955995982414986,0.02088504034930885,Welch Two Sample t-test,two.sided,0.12018311820974514
P62861;E9PR30;E9PM49,FAU,40S ribosomal protein S30,0.2894085975233587,19.546193886133953,19.256785288610594,3.6812009867677578,0.016549016192178037,4.6009448768566745,0.08192698277462032,0.4968902122720971,Welch Two Sample t-test,two.sided,0.03933241520657253
E9PRF4;Q15047;E9PQM8;E9PAP1;X6RHV1;B0QZE6;E9PS59;X6R732,SETDB1,Histone-lysine N-methyltransferase SETDB1,-0.11230682072507037,17.906493587315904,18.018800408040974,-1.4428791675686845,0.21403225705241888,4.561413581228206,-0.3183158526096683,0.093702211159527607,Welch Two Sample t-test,two.sided,0.2852747956442875
E9PRG8;E9PLD3;A0A494BXY3,C11orf98,Uncharacterized protein C11orf98,0.18259689681235258,19.213303038135038,19.030706141322685,9.405986872416007,2.6075292171443416e-4,4.880557654542401,0.13232503365639967,0.2328687599683055,Welch Two Sample t-test,two.sided,0.002764063192333676
H0YDK3;H0YDE3;H0YDU2;E9PRI1;Q96NY9;E9PL60;E9PII7,MUS81,Crossover junction endonuclease MUS81,0.08662544084994828,14.671626747557475,14.585001306707527,2.1667866914741634,0.08301739564995206,4.951058273827223,-0.016449534650311595,0.18970041635020815,Welch Two Sample t-test,two.sided,0.13246811793705837
E9PRY8;P29692;A0A087X1X7;E9PK01;E9PQZ1;E9PI39;E9PQ49;H0YE72;E9PPR1;E9PL12;E9PIZ1;E9PMW7;H0YCK7;E9PK06;H0YE58;E9PQR8;E9PRL0;E9PQC9;E9PN71;E9PN56;E9PK72;E9PJV8;E9PPY1;E9PNC8;E9PKH7,EEF1D,Elongation factor 1-delta,0.45287176423914133,21.006040558822015,20.553168794582874,10.905764174358074,0.002441008633724073,2.7436788344312566,0.3134511935810809,0.5922923348972017,Welch Two Sample t-test,two.sided,0.010044246128630948
J3KND1;E9PRZ1;Q96ER3;E9PMD2;H0YDM3;H0YCN7;E9PL53;H0YEK5,SAAL1,Protein SAAL1,-0.02575708662152465,18.502290856466495,18.52804794308802,-1.1632593613314808,0.2978872794638865,4.932961621795551,-0.08290879055003016,0.031394617306980864,Welch Two Sample t-test,two.sided,0.37471715925652965
E9PS44;Q01628;H7BYV1;E9PQN9;P13164;Q01629,IFITM3;IFITM2;IFITM1,Interferon-induced transmembrane protein 3;Interferon-induced transmembrane protein 1;Interferon-induced transmembrane protein 2,-0.33058307198694337,17.323107899809656,17.6536909717966,-8.291240070641265,0.007429130189495867,2.458137966433452,-0.47486112413879544,-0.1863050198350913,Welch Two Sample t-test,two.sided,0.021779046687005997
